id,dbXRefs,ICD10,All_ICD_counts,f41202_ICD_counts,ICD10_all_freq
MONDO_0009567,G11.1,G11,13.0,7.0,0.0025864676015089055
MONDO_0009615,E71.1,E71,2.0,1.0,0.0003979180925398316
MONDO_0010269,H35.0,H35,305.0,147.0,0.06068250911232432
MONDO_0011049,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0011147,Q93.5,Q93,3.0,0.0,0.0005968771388097474
MONDO_0011862,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0000153,Q20.3,Q20,5.0,3.0,0.000994795231349579
MONDO_0000153,Q20.5,Q20,2.0,0.0,0.0003979180925398316
MONDO_0004640,K29.2,K29,3014.0,1528.0,0.5996625654575263
MONDO_0008492,L98.8,L98,1116.0,834.0,0.22203829563722605
MONDO_0008730,E25.0,E25,19.0,9.0,0.0037802218791284
MONDO_0008759,E88.8,E88,25.0,8.0,0.004973976156747895
MONDO_0009662,E76.2,E76,5.0,1.0,0.000994795231349579
MONDO_0009720,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0010200,E83.0,E83,7.0,6.0,0.0013927133238894106
MONDO_0011146,Q99.8,Q99,20.0,4.0,0.003979180925398316
MONDO_0011487,G10,G10,19.0,1.0,0.0037802218791284
MONDO_0011732,M06.8,M06,19.0,12.0,0.0037802218791284
MONDO_0001551,N76.6,N76,62.0,44.0,0.01233546086873478
MONDO_0002878,C54.2,C54,15.0,8.0,0.002984385694048737
MONDO_0007334,Q87.2,Q87,13.0,2.0,0.0025864676015089055
MONDO_0007793,Q77.4,Q77,12.0,3.0,0.0023875085552389898
MONDO_0007934,H35.5,H35,106.0,13.0,0.021089658904611074
MONDO_0008136,H47.0,H47,82.0,30.0,0.016314641794133097
MONDO_0008247,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0009683,G71.0,G71,82.0,27.0,0.016314641794133097
MONDO_0010279,Q87.2,Q87,13.0,2.0,0.0025864676015089055
MONDO_0010617,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010619,E83.3,E83,214.0,14.0,0.04257723590176198
MONDO_0011430,Q12.0,Q12,80.0,53.0,0.015916723701593263
MONDO_0011555,Q87.2,Q87,13.0,2.0,0.0025864676015089055
MONDO_0011971,D80.5,D80,3.0,2.0,0.0005968771388097474
MONDO_0012092,G60.8,G60,51.0,26.0,0.010146911359765707
MONDO_0012556,E77.8,E77,8.0,1.0,0.0015916723701593265
MONDO_0007185,Q68.1,Q68,3.0,1.0,0.0005968771388097474
MONDO_0007251,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0007296,G11.8,G11,2.0,1.0,0.0003979180925398316
MONDO_0007536,Q33.8,Q33,3.0,1.0,0.0005968771388097474
MONDO_0008323,I15.1,I15,112.0,2.0,0.02228341318223057
MONDO_0009233,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0009565,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010535,L98.8,L98,1116.0,834.0,0.22203829563722605
MONDO_0010561,Q87.0,Q87,21.0,4.0,0.004178139971668232
MONDO_0011248,Q93.5,Q93,3.0,0.0,0.0005968771388097474
MONDO_0011362,G71.0,G71,82.0,27.0,0.016314641794133097
MONDO_0011790,Q02,Q02,2.0,0.0,0.0003979180925398316
MONDO_0012096,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0012548,D70,D70,3961.0,1555.0,0.7880767822751364
MONDO_0009270,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0009658,E76.2,E76,5.0,1.0,0.000994795231349579
MONDO_0009787,E71.1,E71,2.0,1.0,0.0003979180925398316
MONDO_0010428,Q99.8,Q99,20.0,4.0,0.003979180925398316
MONDO_0011522,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0001557,M70.2,M70,311.0,269.0,0.061876263389943814
MONDO_0007841,Q74.1,Q74,23.0,4.0,0.004576058064208063
MONDO_0008898,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0009020,H18.5,H18,253.0,138.0,0.0503366387062887
MONDO_0010524,D64.0,D64,11.0,5.0,0.0021885495089690736
MONDO_0010615,E23.0,E23,344.0,187.0,0.06844191191685103
MONDO_0011382,D57.1,D57,108.0,34.0,0.021487576997150905
MONDO_0011382,D57.0,D57,27.0,24.0,0.005371894249287726
MONDO_0011382,D57.2,D57,6.0,3.0,0.0011937542776194949
MONDO_0011776,E85.0,E85,7.0,2.0,0.0013927133238894106
MONDO_0001078,K90.1,K90,2.0,1.0,0.0003979180925398316
MONDO_0004789,K83.0,K83,568.0,387.0,0.11300873828131218
MONDO_0007351,Q14.8,Q14,1.0,0.0,0.0001989590462699158
MONDO_0007679,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0008234,D44.8,D44,23.0,15.0,0.004576058064208063
MONDO_0008662,H35.5,H35,106.0,13.0,0.021089658904611074
MONDO_0009212,D68.2,D68,365.0,17.0,0.07262005188851926
MONDO_0010035,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0011457,G11.3,G11,1.0,0.0,0.0001989590462699158
MONDO_0011738,Q04.3,Q04,2.0,0.0,0.0003979180925398316
MONDO_0011797,G12.2,G12,254.0,174.0,0.050535597752558614
MONDO_0004359,F22.0,F22,229.0,112.0,0.04556162159581072
MONDO_0004627,K29.8,K29,3014.0,1528.0,0.5996625654575263
MONDO_0007336,Q35.3,Q35,2.0,2.0,0.0003979180925398316
MONDO_0007363,Q68.8,Q68,18.0,5.0,0.0035812628328584844
MONDO_0007566,C44.3,C44,9359.0,6399.0,1.862057714040142
MONDO_0007566,C44.7,C44,1747.0,957.0,0.3475814538335429
MONDO_0007566,C44.6,C44,2210.0,1121.0,0.43969949225651395
MONDO_0007744,E78.4,E78,97.0,1.0,0.01929902748818183
MONDO_0008438,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0008800,Q87.2,Q87,13.0,2.0,0.0025864676015089055
MONDO_0008884,Q87.5,Q87,2.0,0.0,0.0003979180925398316
MONDO_0009068,E88.8,E88,25.0,8.0,0.004973976156747895
MONDO_0010191,D68.0,D68,135.0,49.0,0.026859471246438633
MONDO_0011675,G60.0,G60,101.0,31.0,0.020094863673261496
MONDO_0011870,Q80.3,Q80,4.0,1.0,0.0007958361850796633
MONDO_0012197,D61.3,D61,2.0,2.0,0.0003979180925398316
HP_0001877,R71,R71,80.0,27.0,0.015916723701593263
MONDO_0000463,N31.8,N31,987.0,746.0,0.1963725786684069
MONDO_0001724,C32.1,C32,76.0,63.0,0.0151208875165136
MONDO_0001903,M65.2,M65,15.0,10.0,0.002984385694048737
MONDO_0008058,G71.2,G71,7.0,2.0,0.0013927133238894106
