Topic,First occurrence year,First valid occurrence date,reviews,research_review_ratio,reviews_div_research,reviews_ratio,Years from First ever occurrence to (first valid) Start date,Years since Start date,# Years of Topic coverage in dataset (After dates filtering),Average topic popularity value (After dates filtering),Max topic popularity value (After dates filtering),Minimum topic popularity value (After dates filtering),Year of topics max popularity (After dates filtering),Year of topics min popularity (After dates filtering),Fraction of papers that were reviews in year of topics max popularity,Fraction of papers that were reviews in year of topics lowest popularity,Average topic reviews popularity value (After dates filtering)
substance P,1946,1955,15.14,0.97,0.08,0.07,9,65,42,120.18,249.32,26.03,1993,2020,0.07,0.12,10.69
subthalamus,1946,1951,0.0,-17.5,0.0,0.0,5,69,41,14.31,32.51,0.22,2004,1996,0.12,1.0,1.24
synthetic biology,1959,1969,6.46,0.93,0.08,0.07,10,51,42,121.84,334.98,15.21,2019,1985,0.19,0.16,18.76
thalamus,1945,1950,9.43,1.0,0.05,0.05,5,70,42,210.47,270.44,133.03,1980,2020,0.03,0.07,16.01
ultrasound,1945,1950,562.55,1.0,0.11,0.1,5,70,42,5779.36,7730.25,4820.6,2017,1979,0.11,0.02,548.96
vaccine,1945,1950,137.29,0.99,0.2,0.17,5,70,42,1185.89,1641.14,695.6,2020,1981,0.19,0.05,190.35
viral therapy,1946,1952,41.71,0.99,0.3,0.23,6,68,42,444.48,1272.56,107.96,2020,1980,0.21,0.15,96.37
vitamin C,1945,1950,10.43,0.99,0.07,0.06,5,70,42,204.78,257.84,155.54,2003,1988,0.09,0.08,14.51
vitamin D,1945,1950,29.79,0.99,0.16,0.14,5,70,42,278.77,396.53,213.67,2017,1988,0.19,0.11,45.57
zebra fish,1948,1953,0.74,-10.32,0.19,0.16,5,67,42,115.11,287.77,1.41,2019,1981,0.08,0.0,11.87
BLAST,1945,1950,15.09,1.0,0.09,0.08,5,70,42,166.42,198.61,103.33,1989,1980,0.04,0.03,9.99
Brodmann area,1951,1978,0.0,-4.6,0.0,0.0,27,42,42,7.75,15.28,0.71,2005,1980,0.02,0.0,0.31
Cingulate cortex,1946,1951,1.7,1.0,0.07,0.06,5,69,42,79.36,162.47,13.82,2013,1979,0.07,0.0,5.25
DNA array,1956,1978,3.16,1.0,0.13,0.11,22,42,42,335.22,991.05,4.25,2010,1979,0.08,0.08,31.59
Dorsolateral prefrontal cortex,1960,1975,0.73,-21.36,0.27,0.21,15,45,42,29.16,68.94,0.36,2014,1980,0.05,0.0,1.96
Drug repurposing,1973,1979,0.0,-61.75,0.0,0.0,1979,41,38,15.39,144.66,0.0,2020,1981,0.27,,3.68
EEG,1945,1950,56.22,0.95,0.11,0.1,5,70,42,586.98,719.95,501.23,1979,2002,0.03,0.12,45.99
Epidemiology,1945,1950,710.89,1.0,0.12,0.11,5,70,42,8212.46,12747.16,3672.11,2020,1980,0.08,0.04,931.46
