ICD10,f41202,All
M6214,3,3
A010,11,11
H341,28,43
C411,34,41
Z229,0,5
O431,12,114
C679,2181,2422
H505,39,56
S9291,3,5
G800,6,22
M7739,1,1
M7126,145,217
S107,1,5
W590,0,1
D861,62,70
C463,1,2
Z000,78,635
M185,3,3
Y801,0,2
Y287,0,1
F316,48,57
N188,34,73
S088,1,1
T0231,2,2
B210,4,7
G118,1,2
H933,6,17
M4710,2,5
M7656,14,19
E288,1,5
E117,3,8
I859,442,601
Q710,0,3
G538,0,3
V0509,0,1
M4307,9,14
M8095,8,13
T0210,3,5
S958,0,2
V4758,0,1
W243,0,1
G820,0,6
X109,0,11
F843,0,3
M810,2,15
Y088,0,5
Z856,43,411
T630,3,5
V249,0,2
V1328,0,1
I390,0,2
Y601,0,1
S681,379,401
C300,39,50
M929,0,1
C692,7,9
M5450,121,138
Z862,0,376
N823,73,97
X598,0,53
D294,21,29
H578,69,158
M932,40,64
S6210,10,29
M7994,16,16
M6298,2,3
Y604,0,68
W603,0,1
K20,7136,11104
E889,4,20
S1210,68,85
J320,374,572
O418,41,115
O337,1,1
M8147,0,1
Z596,0,4
Q159,0,2
G20,326,1386
M2392,3,3
M802,0,1
M8521,0,6
M1911,25,40
W172,0,22
C964,1,2
D012,16,123
S130,2,7
M2481,16,27
M4857,4,6
S003,51,154
S621,6,13
L048,8,10
R261,2,6
M310,9,18
Y872,0,30
S5240,39,47
N309,1079,1715
F660,0,1
Y480,0,7
M203,178,224
V499,1,101
Y830,0,200
M1919,2,4
M1097,115,299
B029,178,395
V481,0,10
M2577,439,1022
S0230,98,163
N084,0,17
C479,1,10
M130,41,348
C251,46,74
S5200,653,731
S517,28,48
M8399,0,11
O679,11,123
M8903,27,31
F312,131,138
M651,20,29
G10,1,19
M8144,1,3
M2106,22,139
Q384,2,3
S436,1,1
S500,11,75
Z742,2,76
B159,27,81
R294,0,2
B021,6,9
D177,268,376
M0526,2,2
M2402,72,112
V4258,0,1
X860,0,1
M892,0,1
M8648,2,4
M0092,11,15
M7200,10,10
M7061,2,3
M861,8,11
Q791,2,10
A568,0,1
K579,3122,7519
M8021,0,1
N822,2,4
T424,439,692
Q444,8,9
D482,15,21
B301,1,2
M214,84,160
M848,8,11
O229,4,6
C771,112,1034
Z312,31,89
M7254,0,1
A871,1,1
C883,1,3
M4194,8,54
